Year Completed,Status,Job Number,Sector,Job Name,Contractor,Project Address,State,Latitude,Longitude,Link
In Progress,Active,AUZUS0316,Municipal,Loudoun County Fire & Rescue,Carlson,"16599 Courage CT. Leesburg, VA 20175",Virginia,39.07414041,-77.55099931,
In Progress,Active,AUZUS0282,Municipal,Spring Fire Department,Volger Sheetmetal,"26200 G Lexington Rd, Spring TX, 77373",Texas,30.07284312,-95.42325789,
2023,Complete,AUZUS0172,Municipal,Round Rock Public Library,Hensel Phelps - Aus,"300 E Liberty Ave Round Rock, TX 78664",Texas,30.5103135,-97.6767538,
2019,Complete,AUZUS0115,Municipal,Sachse Community center,Ratcliff Constructors,3815 Sachse Rd Sachse TX 75048,Texas,32.97402479,-96.5847794,
2025,Complete,AUZUS0254,Municipal,Putnam City Centennial Center & Park,Lingo Construction,"4301 N Ann Arbor Ave, Warr Acres, OK 73132",Oklahoma,35.5154491,-97.61056375,
2018,Complete,AUZUS0091,Municipal,Warmack Library,Pouge Constructions,760 Bardin RD. Grand Prairer TX 75052,Texas,32.66746763,-97.01446223,
2024,Complete,AUZUS0162,Municipal,El Paso Children's Museum (Fabrication Project),Commercial Roofing Systems Inc.,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76162987,-96.89351495,
2015,Complete,AUZUS0008,Municipal,TCU LIBRARY (Fabrication Project),Read Architectural Products,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76162987,-96.89351495,
In Progress,Active,AUZUS0276,Municipal,Mary john Gray Library,Turner Construction,"Martin Luther King Jr Parkway, Beaumont, TX, 77705",Texas,30.09765537,-94.1109312,
2017,Complete,AUZUS0071,Program Work,Graff Chevrolet,Direct to Owner (Dealership),1405 E. Main St. Grand Prairie TX 75050,Texas,32.74666323,-96.9868865,https://www.auzmet.com/graff-chevy
2016,Complete,AUZUS0015,Program Work,"Boerne Dodge, Chevy, Jeep, Ram",Huband-Mantor Construction Inc,30300 IH-10 West Boerne TX 78006,Texas,29.744481,-98.690958,
2022,Complete,AUZUS0152,Program Work,Kroger,Big D Construction,"4221 Telephone Rd.  Dallas, TX 75241",Texas,32.63794309,-96.75374585,https://www.auzmet.com/kroger
2024,Complete,AUZUS0223,Program Work,Jim Norton Chevrolet,Thompson Construction Inc.,"4924 South Memorial Drive  Tulsa, OK 74145",Oklahoma,36.09234329,-95.88790666,
2024,Complete,AUZUS0241,Program Work,Knoxville Health Center,Lubin Enterprises,"710 North Cherry St, Knoxville, TX, 37914",Texas,35.98999352,-83.89682544,
2018,Complete,AUZUS0073,,Wade Park,Balfour Beatty,1444 N Cockrell Hill Rd Dallas TX 75211,Fabrication Project,32.76162987,-96.89351495,
2019,Complete,AUZUS0101,Program Work,Honda Weatherford,FORT Construction,851 W i20 Weatherford TX 76087,Texas,32.48794881,-91.97635801,
2024,Complete,AUZUS0194,Program Work,"McKinney Chevy, Dodge, Ram, Jeep",Crossland Construction Company,"US Hwy 75 at Rockhill Rd, McKinney TX 75069",Texas,40.89150444,-95.91132026,https://www.auzmet.com/mckinney-cdrj
In Progress,Active,AUZUS0283,Multi Family,152 Oakdale,Mosaic Building Co,152 Oakdale Rd. Trinidad TX 75163,Texas,32.19482702,-96.10037704,
2015,Complete,AUZUS0014,Multi Family,2203 KESSLER WOODS,Read Architectural Products,"2203 Kessler Woods Crt, Dallas TX 75208",Texas,32.752516,-96.853949,
2025,Complete,AUZUS0218,Multi Family,Rock Residence,Starside Custom Builders,"3425 Ranchero Rd  Plano, TX 75093",Texas,33.04534007,-96.80694175,
In Progress,Active,AUZUS0284,Multi Family,60 Ladoga,Coastal,"60 Ladoga Ave. Tampa, FL 33606",Florida,27.92035215,-82.46216651,
2025,Complete,AUZUS0205,Multi Family,9246 Sunnybrook,Tatum Brown,"9246 Sunnybrook Lane  Dallas, TX 75220",Texas,32.86895845,-96.82645963,
In Progress,Active,AUZUS0302,Multi Family,Chophouse B10,Pacific Builders,"901 Commerce St. Fort Worth, TX 75102",Texas,32.7524168,-97.32805619,
2025,Complete,AUZUS0212,Sports,Maps 4,Midwest Drywall,"301 Gordon Cooper Blvd. Oklahoma City, OK 73108",Oklahoma,35.46931682,-97.56906798,
In Progress,Active,AUZUS0292,Sports,Midland Athletic Complex,Lee Lewis,5501 Deauville Dr. Midland TX 79706,Texas,31.99156592,-102.1543801,
2016,Complete,AUZUS0019,Sports,DALLAS COWBOYS HQ,Alliance Glazing Technologies,6600 Cowboys Pkwy Frisco TX 75034,Texas,33.109052,-96.826787,
In Progress,Active,AUZUS0285,Sports,US Soccer Federation Training Center,Brasfield & Gorrie,"910 Veterans Pkwy Fayetteville, GA 30214",Georgia,33.50211094,-84.50852824,
